gid	key	parent_key	parent_table	playback-scenario	text
gid_2016_05_07_nynmlb_sdnmlb_1	102	17	media	FLASH_1200K_640X360	http://mediadownloads.mlb.com/mlbam/mp4/2016/05/08/670492483/1462687681504/asset_1200K.mp4
gid_2016_05_07_nynmlb_sdnmlb_1	103	17	media	HTTP_CLOUD_MOBILE	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670492483/1462687681705/master_mobile.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	104	17	media	3GP_H264_550K_320X240	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670492483/1462687681705/master_mobile.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	105	17	media	HTTP_CLOUD_TABLET	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670492483/1462687681705/master_tablet.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	106	17	media	HTTP_CLOUD_TABLET_60	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670492483/1462687681705/master_tablet_60.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	107	17	media	HTTP_CLOUD_WIRED	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/670492483/1462687681705/master_wired.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	108	18	media	FLASH_1200K_640X360	http://mediadownloads.mlb.com/mlbam/mp4/2016/05/08/671469583/1462690108205/asset_1200K.mp4
gid_2016_05_07_nynmlb_sdnmlb_1	109	18	media	HTTP_CLOUD_MOBILE	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/671469583/1462690108782/master_mobile.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	110	18	media	3GP_H264_550K_320X240	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/671469583/1462690108782/master_mobile.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	111	18	media	HTTP_CLOUD_TABLET	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/671469583/1462690108782/master_tablet.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	112	18	media	HTTP_CLOUD_TABLET_60	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/671469583/1462690108782/master_tablet_60.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	113	18	media	HTTP_CLOUD_WIRED	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/671469583/1462690108782/master_wired.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	114	19	media	FLASH_1200K_640X360	http://mediadownloads.mlb.com/mlbam/mp4/2016/05/08/671501683/1462691119782/asset_1200K.mp4
gid_2016_05_07_nynmlb_sdnmlb_1	115	19	media	HTTP_CLOUD_MOBILE	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/671501683/1462691120012/master_mobile.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	116	19	media	3GP_H264_550K_320X240	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/671501683/1462691120012/master_mobile.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	117	19	media	HTTP_CLOUD_TABLET	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/671501683/1462691120012/master_tablet.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	118	19	media	HTTP_CLOUD_TABLET_60	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/671501683/1462691120012/master_tablet_60.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	119	19	media	HTTP_CLOUD_WIRED	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/671501683/1462691120012/master_wired.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	120	20	media	FLASH_1200K_640X360	http://mediadownloads.mlb.com/mlbam/mp4/2016/05/08/671469483/1462726959624/asset_1200K.mp4
gid_2016_05_07_nynmlb_sdnmlb_1	121	20	media	HTTP_CLOUD_MOBILE	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/671469483/1462726960015/master_mobile.m3u8
gid_2016_05_07_nynmlb_sdnmlb_1	122	20	media	3GP_H264_550K_320X240	http://mediadownloads.mlb.com/mlbam/hls/2016/05/08/671469483/1462726960015/master_mobile.m3u8
